ID,Nome_Scuola,Citta,Land,OID_Erasmus,Sito_Web,ISCED,Fonte_URL
DE-WAVE2-0364,Einstein-Gymnasium Rheda-Wiedenbrück,Rheda-Wiedenbrück,Nordrhein-Westfalen,E10126751,,2-3,https://erasmusplus.schule/fileadmin/Dateien/Dokumente/Erasmus/Foerderlisten/KA120_akkreditierte_Einrichtungen.pdf
DE-WAVE2-0365,Gesamtschule Rhede,Rhede,Nordrhein-Westfalen,E10302564,,2-3,https://erasmusplus.schule/fileadmin/Dateien/Dokumente/Erasmus/Foerderlisten/KA120_akkreditierte_Einrichtungen.pdf
DE-WAVE2-0366,Europaschule Rheinberg,Rheinberg,Nordrhein-Westfalen,E10171025,,2-3,https://erasmusplus.schule/fileadmin/Dateien/Dokumente/Erasmus/Foerderlisten/KA120_akkreditierte_Einrichtungen.pdf
DE-WAVE2-0367,Alexander von Humboldt Schule Rheine-Mesum,Rheine,Nordrhein-Westfalen,E10161889,,2-3,https://erasmusplus.schule/fileadmin/Dateien/Dokumente/Erasmus/Foerderlisten/KA120_akkreditierte_Einrichtungen.pdf
DE-WAVE2-0368,Emsland-Gymnasium Rheine,Rheine,Nordrhein-Westfalen,E10307689,,2-3,https://erasmusplus.schule/fileadmin/Dateien/Dokumente/Erasmus/Foerderlisten/KA120_akkreditierte_Einrichtungen.pdf
DE-WAVE2-0369,Kopernikus-Gymnasium Rheine,Rheine,Nordrhein-Westfalen,E10059622,,2-3,https://erasmusplus.schule/fileadmin/Dateien/Dokumente/Erasmus/Foerderlisten/KA120_akkreditierte_Einrichtungen.pdf
DE-WAVE2-0370,Gymnasium Nepomucenum Rietberg,Rietberg,Nordrhein-Westfalen,E10308662,,2-3,https://erasmusplus.schule/fileadmin/Dateien/Dokumente/Erasmus/Foerderlisten/KA120_akkreditierte_Einrichtungen.pdf
DE-WAVE2-0371,Gesamtschule der Gemeinde Rödinghausen,Rödinghausen,Nordrhein-Westfalen,E10166854,,2-3,https://erasmusplus.schule/fileadmin/Dateien/Dokumente/Erasmus/Foerderlisten/KA120_akkreditierte_Einrichtungen.pdf
DE-WAVE2-0372,Freiherr-vom-Stein-Schule Gymnasium Rösrath,Rösrath,Nordrhein-Westfalen,E10253086,,2-3,https://erasmusplus.schule/fileadmin/Dateien/Dokumente/Erasmus/Foerderlisten/KA120_akkreditierte_Einrichtungen.pdf
DE-WAVE2-0373,Schule Haus Widey,Salzkotten,Nordrhein-Westfalen,E10178176,,2-3,https://erasmusplus.schule/fileadmin/Dateien/Dokumente/Erasmus/Foerderlisten/KA120_akkreditierte_Einrichtungen.pdf
DE-WAVE2-0374,Gesamtschule Schermbeck,Schermbeck,Nordrhein-Westfalen,E10082666,,2-3,https://erasmusplus.schule/fileadmin/Dateien/Dokumente/Erasmus/Foerderlisten/KA120_akkreditierte_Einrichtungen.pdf
DE-WAVE2-0375,Gymnasium Schloss Holte-Stukenbrock,,Nordrhein-Westfalen,E10199275,,2-3,https://erasmusplus.schule/fileadmin/Dateien/Dokumente/Erasmus/Foerderlisten/KA120_akkreditierte_Einrichtungen.pdf
DE-WAVE2-0376,Sekundarschule Horstmar-Schöppingen,Schöppingen,Nordrhein-Westfalen,E10406526,,2-3,https://erasmusplus.schule/fileadmin/Dateien/Dokumente/Erasmus/Foerderlisten/KA120_akkreditierte_Einrichtungen.pdf
DE-WAVE2-0377,Theodor-Fleitmann-Gesamtschule,Schwerte,Nordrhein-Westfalen,E10373401,,2-3,https://erasmusplus.schule/fileadmin/Dateien/Dokumente/Erasmus/Foerderlisten/KA120_akkreditierte_Einrichtungen.pdf
DE-WAVE2-0378,Overbergschule Selm,Selm,Nordrhein-Westfalen,E10069833,,2-3,https://erasmusplus.schule/fileadmin/Dateien/Dokumente/Erasmus/Foerderlisten/KA120_akkreditierte_Einrichtungen.pdf
DE-WAVE2-0379,Anno-Gymnasium Siegburg,Siegburg,Nordrhein-Westfalen,E10234897,,2-3,https://erasmusplus.schule/fileadmin/Dateien/Dokumente/Erasmus/Foerderlisten/KA120_akkreditierte_Einrichtungen.pdf
DE-WAVE2-0380,Gymnasium Siegburg Alleestraße,Siegburg,Nordrhein-Westfalen,E10144511,,2-3,https://erasmusplus.schule/fileadmin/Dateien/Dokumente/Erasmus/Foerderlisten/KA120_akkreditierte_Einrichtungen.pdf
DE-WAVE2-0381,"Hans Alfred Keller-Schule,",Siegburg,Nordrhein-Westfalen,E10202283,,2-3,https://erasmusplus.schule/fileadmin/Dateien/Dokumente/Erasmus/Foerderlisten/KA120_akkreditierte_Einrichtungen.pdf
